name,anime_debut,manga_debut,affiliation,origin,aliases,height,bounty,dfname,dftype,haoshoku,kenbunshoku,busoshoku,image
A O,551.0,460.0,A O Pirates,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/0/0b/A_O_Portrait.png/revision/latest?cb=20200426055306
Baskerville,379.0,267.0,World Government (Enies Lobby),Grand Line,Three-Headed Baskerville,512.0,0,,,False,False,False,
Andre,558.0,479.0,Whitebeard Pirates,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/d/d8/Andre_Portrait.png/revision/latest?cb=20200426060258
Aramaki,905.0,882.0,Marines,,Ryokugyu,,0,Mori Mori no Mi,Logia,False,False,True,https://static.wikia.nocookie.net/onepiece/images/a/a2/Aramaki_Portrait.png/revision/latest?cb=20231022030242
Aremo Ganmi,707.0,636.0,Corrida Colosseum,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/f/fc/Aremo_Ganmi_Portrait.png/revision/latest?cb=20190722162635
Anjo,1.0,,,East Blue,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/9/95/Anjo_Portrait.png/revision/latest?cb=20200105083845
Antonio,497.0,391.0,Antonio's Graman,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/f/f1/Antonio_Portrait.png/revision/latest?cb=20200504015809
Ankoro,606.0,525.0,Flying Pirates,,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/b/b0/Ankoro_Portrait.png/revision/latest?cb=20200916012452
Aphelandra,514.0,408.0,Kuja,Calm Belt ,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/a/a7/Aphelandra_Portrait.png/revision/latest?cb=20180720061553
An Zengaiina,528.0,425.0,,Grand Line,,,0,,,False,False,False,https://static.wikia.nocookie.net/onepiece/images/e/ee/An_Zengaiina_Portrait.png/revision/latest?cb=20200915053343
